time,infection_status,risk_group,count,model
12,r,g0-11,5.888888888888889,60%
12,r,g1-00,14.0,60%
12,r,g1-01,19.0,60%
12,r,g1-10,12.7,60%
12,r,g1-11,21.1,60%
12,s,g0-00,1212.4,60%
12,s,g0-01,833.6,60%
12,s,g0-10,1228.6,60%
12,s,g0-11,856.7,60%
12,s,g1-00,2740.7,60%
12,s,g1-01,3104.2,60%
12,s,g1-10,2725.1,60%
12,s,g1-11,3076.5,60%
13,i,g0-00,14.4,60%
13,i,g0-01,16.4,60%
13,i,g0-10,13.9,60%
13,i,g0-11,14.4,60%
13,i,g1-00,17.1,60%
13,i,g1-01,28.7,60%
13,i,g1-10,17.4,60%
13,i,g1-11,33.3,60%
13,r,g0-00,7.7,60%
13,r,g0-01,5.8,60%
13,r,g0-10,6.8,60%
13,r,g0-11,6.5,60%
13,r,g1-00,16.9,60%
13,r,g1-01,22.7,60%
13,r,g1-10,16.8,60%
13,r,g1-11,25.0,60%
13,s,g0-00,1194.6,60%
13,s,g0-01,829.1,60%
13,s,g0-10,1238.5,60%
13,s,g0-11,864.6,60%
13,s,g1-00,2749.3,60%
13,s,g1-01,3097.3,60%
13,s,g1-10,2706.6,60%
13,s,g1-11,3056.2,60%
14,i,g0-00,17.3,60%
14,i,g0-01,19.5,60%
14,i,g0-10,18.9,60%
14,i,g0-11,18.5,60%
14,i,g1-00,21.1,60%
14,i,g1-01,35.6,60%
14,i,g1-10,19.6,60%
14,i,g1-11,37.9,60%
14,r,g0-00,8.5,60%
14,r,g0-01,7.4,60%
14,r,g0-10,8.9,60%
14,r,g0-11,7.6,60%
14,r,g1-00,19.9,60%
14,r,g1-01,29.0,60%
14,r,g1-10,18.7,60%
14,r,g1-11,31.6,60%
14,s,g0-00,1199.0,60%
14,s,g0-01,816.9,60%
14,s,g0-10,1241.4,60%
14,s,g0-11,860.6,60%
14,s,g1-00,2734.2,60%
14,s,g1-01,3091.6,60%
14,s,g1-10,2692.5,60%
14,s,g1-11,3043.8,60%
15,i,g0-00,20.3,60%
15,i,g0-01,22.4,60%
15,i,g0-10,18.4,60%
15,i,g0-11,21.9,60%
15,i,g1-00,22.9,60%
15,i,g1-01,43.3,60%
15,i,g1-10,26.3,60%
15,i,g1-11,45.5,60%
15,r,g0-00,10.1,60%
15,r,g0-01,10.1,60%
15,r,g0-10,9.4,60%
15,r,g0-11,9.6,60%
15,r,g1-00,24.4,60%
15,r,g1-01,33.9,60%
15,r,g1-10,23.6,60%
15,r,g1-11,36.4,60%
15,s,g0-00,1204.6,60%
15,s,g0-01,821.4,60%
15,s,g0-10,1254.7,60%
15,s,g0-11,877.8,60%
15,s,g1-00,2717.7,60%
15,s,g1-01,3068.9,60%
15,s,g1-10,2667.6,60%
15,s,g1-11,3008.8,60%
16,i,g0-00,24.3,60%
16,i,g0-01,27.2,60%
16,i,g0-10,24.3,60%
16,i,g0-11,26.3,60%
16,i,g1-00,27.3,60%
16,i,g1-01,54.9,60%
16,i,g1-10,31.1,60%
16,i,g1-11,54.5,60%
16,r,g0-00,11.2,60%
16,r,g0-01,10.2,60%
16,r,g0-10,12.9,60%
16,r,g0-11,13.3,60%
16,r,g1-00,28.8,60%
16,r,g1-01,41.3,60%
16,r,g1-10,25.6,60%
16,r,g1-11,42.5,60%
16,s,g0-00,1199.5,60%
16,s,g0-01,832.0,60%
16,s,g0-10,1250.4,60%
16,s,g0-11,876.1,60%
16,s,g1-00,2708.9,60%
16,s,g1-01,3034.4,60%
16,s,g1-10,2655.7,60%
16,s,g1-11,2987.3,60%
17,i,g0-00,30.2,60%
17,i,g0-01,32.9,60%
17,i,g0-10,31.4,60%
17,i,g0-11,31.3,60%
17,i,g1-00,32.9,60%
17,i,g1-01,64.9,60%
17,i,g1-10,36.5,60%
17,i,g1-11,64.0,60%
17,r,g0-00,14.4,60%
17,r,g0-01,14.5,60%
17,r,g0-10,15.0,60%
17,r,g0-11,12.6,60%
17,r,g1-00,32.4,60%
17,r,g1-01,48.6,60%
17,r,g1-10,31.2,60%
17,r,g1-11,56.7,60%
17,s,g0-00,1200.4,60%
17,s,g0-01,816.3,60%
17,s,g0-10,1241.3,60%
17,s,g0-11,899.8,60%
17,s,g1-00,2689.7,60%
17,s,g1-01,3022.8,60%
17,s,g1-10,2644.6,60%
17,s,g1-11,2935.6,60%
18,i,g0-00,33.1,60%
18,i,g0-01,38.3,60%
18,i,g0-10,35.6,60%
18,i,g0-11,37.0,60%
18,i,g1-00,42.1,60%
18,i,g1-01,79.0,60%
18,i,g1-10,44.8,60%
18,i,g1-11,76.9,60%
18,r,g0-00,17.9,60%
18,r,g0-01,15.7,60%
18,r,g0-10,16.5,60%
18,r,g0-11,17.9,60%
18,r,g1-00,40.1,60%
18,r,g1-01,59.2,60%
18,r,g1-10,38.8,60%
18,r,g1-11,63.4,60%
18,s,g0-00,1184.2,60%
18,s,g0-01,826.9,60%
18,s,g0-10,1273.8,60%
18,s,g0-11,901.8,60%
18,s,g1-00,2682.6,60%
18,s,g1-01,2980.9,60%
18,s,g1-10,2590.5,60%
18,s,g1-11,2903.0,60%
19,i,g0-00,41.6,60%
19,i,g0-01,47.8,60%
19,i,g0-10,40.1,60%
19,i,g0-11,46.6,60%
19,i,g1-00,48.6,60%
19,i,g1-01,91.7,60%
19,i,g1-10,53.0,60%
19,i,g1-11,87.4,60%
19,r,g0-00,20.0,60%
19,r,g0-01,17.1,60%
19,r,g0-10,19.3,60%
19,r,g0-11,20.5,60%
19,r,g1-00,48.7,60%
19,r,g1-01,75.1,60%
19,r,g1-10,48.5,60%
19,r,g1-11,76.7,60%
19,s,g0-00,1198.0,60%
19,s,g0-01,825.7,60%
19,s,g0-10,1267.7,60%
19,s,g0-11,906.7,60%
19,s,g1-00,2643.1,60%
19,s,g1-01,2942.6,60%
19,s,g1-10,2571.4,60%
19,s,g1-11,2862.1,60%
20,i,g0-00,45.9,60%
20,i,g0-01,52.4,60%
20,i,g0-10,47.5,60%
20,i,g0-11,49.8,60%
20,i,g1-00,60.4,60%
20,i,g1-01,109.5,60%
20,i,g1-10,62.0,60%
20,i,g1-11,109.9,60%
20,r,g0-00,27.6,60%
20,r,g0-01,21.1,60%
20,r,g0-10,23.4,60%
20,r,g0-11,22.2,60%
20,r,g1-00,54.2,60%
20,r,g1-01,91.5,60%
20,r,g1-10,58.7,60%
20,r,g1-11,93.6,60%
20,s,g0-00,1195.7,60%
20,s,g0-01,820.6,60%
20,s,g0-10,1297.6,60%
20,s,g0-11,930.0,60%
20,s,g1-00,2616.2,60%
20,s,g1-01,2904.9,60%
20,s,g1-10,2510.8,60%
20,s,g1-11,2794.5,60%
21,i,g0-00,55.0,60%
21,i,g0-01,65.3,60%
21,i,g0-10,59.0,60%
21,i,g0-11,61.9,60%
21,i,g1-00,71.1,60%
21,i,g1-01,123.8,60%
21,i,g1-10,71.6,60%
21,i,g1-11,124.4,60%
21,r,g0-00,28.7,60%
21,r,g0-01,29.8,60%
21,r,g0-10,29.1,60%
