time,infection_status,risk_group,count,model
10,s,g0-01,830.2,60%
10,s,g0-10,1213.1,60%
10,s,g0-11,828.7,60%
10,s,g1-00,2799.1,60%
10,s,g1-01,3155.5,60%
10,s,g1-10,2776.1,60%
10,s,g1-11,3157.3,60%
11,i,g0-00,3.5,60%
11,i,g0-01,3.111111111111111,60%
11,i,g0-10,2.5555555555555554,60%
11,i,g0-11,2.9,60%
11,i,g1-00,2.5555555555555554,60%
11,i,g1-01,4.6,60%
11,i,g1-10,3.2222222222222223,60%
11,i,g1-11,4.8,60%
11,r,g0-00,2.2,60%
11,r,g0-01,2.2857142857142856,60%
11,r,g0-10,2.5714285714285716,60%
11,r,g0-11,2.4444444444444446,60%
11,r,g1-00,4.3,60%
11,r,g1-01,6.9,60%
11,r,g1-10,4.9,60%
11,r,g1-11,5.4,60%
11,s,g0-00,1193.7,60%
11,s,g0-01,816.0,60%
11,s,g0-10,1205.5,60%
11,s,g0-11,815.7,60%
11,s,g1-00,2794.0,60%
11,s,g1-01,3168.1,60%
11,s,g1-10,2782.6,60%
11,s,g1-11,3169.0,60%
12,i,g0-00,3.1,60%
12,i,g0-01,3.0,60%
12,i,g0-10,2.8,60%
12,i,g0-11,3.6,60%
12,i,g1-00,2.4,60%
12,i,g1-01,5.555555555555555,60%
12,i,g1-10,2.4,60%
12,i,g1-11,4.555555555555555,60%
12,r,g0-00,1.9,60%
12,r,g0-01,1.3333333333333333,60%
12,r,g0-10,3.3333333333333335,60%
12,r,g0-11,2.2,60%
12,r,g1-00,5.4,60%
12,r,g1-01,8.5,60%
12,r,g1-10,5.2,60%
12,r,g1-11,6.8,60%
12,s,g0-00,1196.9,60%
12,s,g0-01,829.5,60%
12,s,g0-10,1225.4,60%
12,s,g0-11,836.6,60%
12,s,g1-00,2790.3,60%
12,s,g1-01,3152.8,60%
12,s,g1-10,2762.2,60%
12,s,g1-11,3146.7,60%
13,i,g0-00,2.7777777777777777,60%
13,i,g0-01,3.4444444444444446,60%
13,i,g0-10,2.1,60%
13,i,g0-11,3.6666666666666665,60%
13,i,g1-00,3.125,60%
13,i,g1-01,4.555555555555555,60%
13,i,g1-10,2.4,60%
13,i,g1-11,4.7,60%
13,r,g0-00,2.1,60%
13,r,g0-01,2.3,60%
13,r,g0-10,2.0,60%
13,r,g0-11,2.125,60%
13,r,g1-00,6.6,60%
13,r,g1-01,8.9,60%
13,r,g1-10,6.4,60%
13,r,g1-11,8.2,60%
13,s,g0-00,1200.6,60%
13,s,g0-01,837.1,60%
13,s,g0-10,1220.3,60%
13,s,g0-11,844.8,60%
13,s,g1-00,2785.7,60%
13,s,g1-01,3144.5,60%
